ENTRY,USCPI,CANEX,CANCPI,JAPANEX,JAPANCPI,SWEX,SWCPI
1993:12:00,366.667,1.331,422.053,100.182,296.176,1.463,249.831
1994:01:00,366.667,1.317,422.053,99.766,296.471,1.472,250.123
1994:02:00,367.669,1.342,418.621,98.237,296.471,1.456,251.139
1994:03:00,368.672,1.364,418.621,90.52,297.647,1.429,251.143
1994:04:00,368.922,1.383,418.621,83.689,298.235,1.438,251.274
1994:05:00,369.674,1.381,417.641,85.113,298.529,1.413,249.714
1994:06:00,370.677,1.384,418.621,84.635,297.353,1.373,250.107
1994:07:00,371.93,1.383,420.092,87.397,296.176,1.324,250.064
1994:08:00,373.434,1.378,420.582,94.738,297.353,1.318,251.046
1994:09:00,374.185,1.354,421.072,100.546,298.235,1.289,251.148
1994:10:00,374.436,1.35,420.092,100.839,299.706,1.265,250.941
1994:11:00,375.439,1.365,422.543,101.94,298.824,1.296,250.923
1994:12:00,376.19,1.389,423.033,101.85,297.941,1.329,250.881
1995:01:00,377.193,1.413,424.504,105.751,297.941,1.286,252.662
1995:02:00,378.195,1.401,426.464,105.788,297.059,1.272,254.915
1995:03:00,378.947,1.408,427.445,105.94,296.765,1.171,255.071
1995:04:00,380.451,1.376,428.915,107.2,297.647,1.138,255.286
1995:05:00,381.203,1.361,429.896,106.342,298.235,1.169,254.805
1995:06:00,381.955,1.377,429.896,108.96,297.941,1.159,255.31
1995:07:00,382.456,1.361,430.876,109.191,296.471,1.156,255.138
1995:08:00,383.208,1.355,429.896,107.866,296.765,1.196,255.947
1995:09:00,383.709,1.351,430.386,109.931,298.529,1.187,256.166
1995:10:00,384.712,1.346,429.896,112.412,297.647,1.145,255.888
1995:11:00,385.213,1.353,431.366,112.296,296.765,1.144,255.697
1995:12:00,385.714,1.369,430.386,113.981,296.765,1.163,255.768
1996:01:00,387.719,1.367,431.366,117.912,296.471,1.182,256.498
1996:02:00,388.471,1.375,431.856,122.962,295.882,1.197,256.909
1996:03:00,389.724,1.366,433.817,122.774,296.471,1.196,257.363
1996:04:00,391.228,1.359,434.797,125.638,298.235,1.218,257.612
1996:05:00,391.98,1.369,436.268,119.192,298.824,1.254,256.671
1996:06:00,392.732,1.366,436.268,114.286,297.941,1.258,257.172
1996:07:00,393.484,1.37,436.268,115.376,297.647,1.232,256.813
1996:08:00,393.985,1.372,436.268,117.93,297.353,1.203,257.477
1996:09:00,395.238,1.369,436.758,120.89,298.529,1.234,257.627
1996:10:00,396.491,1.351,437.739,121.061,299.118,1.259,258.037
1996:11:00,397.744,1.338,439.699,125.382,298.235,1.275,257.563
1996:12:00,398.747,1.362,439.699,129.734,298.529,1.329,257.767
1997:01:00,399.499,1.349,440.68,129.548,298.235,1.391,258.628
1997:02:00,400.251,1.356,441.66,125.852,297.647,1.454,259.081
1997:03:00,400.501,1.373,442.15,129.082,297.941,1.463,258.708
1997:04:00,400.752,1.394,442.15,131.754,304.118,1.462,258.957
1997:05:00,400.752,1.38,442.641,134.896,304.706,1.433,258.152
1997:06:00,401.504,1.384,443.621,140.331,304.706,1.442,258.411
1997:07:00,402.005,1.377,443.621,140.787,303.529,1.482,258.13
1997:08:00,403.008,1.391,444.111,144.68,303.824,1.513,258.699
1997:09:00,404.01,1.387,444.111,134.481,305.882,1.47,258.694
1997:10:00,404.762,1.387,444.111,121.049,306.765,1.452,258.713
1997:11:00,405.263,1.413,443.621,120.29,304.706,1.407,258.637
1997:12:00,405.514,1.427,443.131,117.071,304.118,1.439,258.762
1998:01:00,406.015,1.441,445.582,113.29,303.824,1.475,258.668
1998:02:00,406.015,1.433,446.072,116.668,303.529,1.463,258.985
1998:03:00,406.015,1.417,446.562,119.473,304.706,1.49,258.794
1998:04:00,406.516,1.43,446.072,119.772,305.294,1.505,258.899
1998:05:00,407.519,1.445,447.542,122,306.176,1.479,258.364
1998:06:00,408.02,1.466,448.033,120.725,305,1.495,258.672
1998:07:00,409.023,1.487,448.033,119.331,303.235,1.514,258.324
1998:08:00,409.524,1.535,448.033,113.227,302.941,1.493,259.06
1998:09:00,409.774,1.522,447.052,106.875,305.294,1.4,258.853
